verse_index,verse_id,english,chapter_number,verse_number,turkish,french,german,bahasa,persian,tamil,swedish,russian,bengali,spanish,urdu
1672,12:68,Jacob Senses Joseph,12,68,"Yakup, Yusuf'u Hissediyor",Jacob sent Joseph,Jakob spürt Joseph,Yakub merasakan Yusuf,یعقوب یوسف را حس می‌کند,ஜோஸஃபை ஜேகப் புலன்களால் உய்த்தறிகிறார்,Jacob känner Joseph,Иаков чувствует Иосифа,যাকুব যোসেফকে অনুভব করেন,Jacob percibe a José,یعقوب نے یوسف کو محسوس کیا
1673,12:69,Back in Egypt,12,69,Mısır'a Geri Dönüş,Retour en Égypte,Zurück in Ägypten,Kembali ke Mesir,بازگشت به مصر,மீண்டும் எகிப்தில்,Tillbaka i Egypten,Возвращение в Египет,মিশরে ফিরে,De vuelta a Egipto,مصر واپس
1674,12:70,Joseph Keeps His Brother,12,70,Yusuf Kardeşini Tutuyor,Joseph garde son frère,Joseph hält seinen Bruder fest,Yusuf menjaga saudaranya,یوسف برادرش را نگه می‌دارد,ஜோஸஃப் தன் சகோதரனை தக்க வைத்துக்கொள்கின்றார்,Josef behåller sin bror,Иосиф хранит своего брата,জোসেফ তার ভাইকে রক্ষা করে,José se queda con su hermano,یوسف اپنے بھائی کا خیال رکھتا ہے
1685,12:81,Back In Palestine,12,81,Filistin'e Dönüş,Retour en Palestine,Zurück in Palästina,Kembali ke Palestin,بازگشت به فلسطین,மீண்டும் பாலஸ்தீனத்தில்,Tillbaka i Palestina,Возвращение в Палестину,ফিলিস্তিনে ফিরে,De vuelta a Palestina,فلسطین واپس
1692,12:88,Israel Goes to Egypt,12,88,İsrail Mısır'a Gidiyor,Israël se rend en Égypte,Israel geht nach Ägypten,Israel Pergi ke Mesir,اسرائیل به مصر می‌رود,இஸ்ரவேல் எகிப்திற்குச் செல்கின்றார்,Israel åker till Egypten,Израиль отправляется в Египет,ইস্রায়েল মিশরে যায়,Israel va a Egipto,اسرائیل مصر گیا
1613,12:9,Joseph's Fate Already Decided by God*,12,9,Yusuf'un Kaderine Tanrı Tarafından Önceden Karar Verilmişti,Le destin de Joseph déjà décidé par Dieu*,Josephs Schicksal wurde bereits von Gott entschieden*,Nasib Joseph Sudah Diputuskan oleh Tuhan*,سرنوشت یوسف از پیش توسط خدا تعیین شده است*,ஜோஸஃபின் விதி கடவுளால் முன்னரே தீர்மானிக்கப்பட்டு விட்டது*,Josefs öde redan bestämt av Gud*,Судьба Иосифа уже решена Богом*,জোসেফের ভাগ্য ইতিমধ্যেই ঈশ্বরের দ্বারা নির্ধারিত হয়েছে*,El destino de José ya está decidido por Dios*.,یوسف کی تقدیر پہلے ہی خدا کے پاس طے شدہ ہے*
1703,12:99,In Egypt,12,99,Mısır'da,En Egypte,In Ägypten,Di Mesir,در مصر,எகிப்தில்,I Egypten,В Египте,মিশরে,En Egipto,مصر میں
1731,13:15,All Creation Has Submitted to God,13,15,Tüm Yaratılış Tanrı'ya Teslim Olmuştur,Toute la création s'est soumise à Dieu,Die ganze Schöpfung hat sich Gott unterworfen,Segala ciptaan telah tunduk kepada Tuhan,تمام خلقت تسلیم خدا شده‌اند,எல்லாப் படைப்பும் கடவுளுக்குச் சரணடைந்து விட்டது,Hela skapelsen har underkastat sig Gud,Все творение покорилось Богу,সমস্ত সৃষ্টিই ঈশ্বরের কাছে আত্মসমর্পণ করেছে,Toda la creación se ha sometido a Dios,تمام کائنات نے خدا کے سامنے سر تسلیم خم کیا ہے۔
1733,13:17,The Truth vs Falsehood,13,17,Batıla Karşı Hak,Vérité et mensonge,Wahrheit und Unwahrheit,Kebenaran vs Kebohongan,حقیقت در برابر دروغ,சத்தியமும் அசத்தியமும்,Sanning kontra osanning,Правда против лжи,সত্য বনাম মিথ্যা,La verdad frente a la mentira,سچائی بمقابلہ جھوٹ
1735,13:19,Believers Versus Disbelievers (1) The Believers,13,19,İnkârcılar karşı İmanlılar (1) İmanlılar,Les croyants et les mécréants (1) Les croyants,Die Gläubigen und die Ungläubigen (1) Die Gläubigen,Orang Beriman Menentang Orang Kafir (1) Orang Beriman,مؤمنان در برابر کافران (۱) مؤمنان,நம்பிக்கையாளர்களும் நம்பமறுப்பவர்களும் (1) நம்பிக்கையாளர்கள்,De troende och de icke-troende (1) De troende,Верующие против неверующих (1) Верующие,বিশ্বাসীরা বনাম অবিশ্বাসীরা (১) বিশ্বাসীরা,Creyentes contra incrédulos (1) Los creyentes,مومن اور کافر (1) مومن
1741,13:25,(2) The Disbelievers,13,25,(2) İnkârcılar,(2) Les mécréants,(2) Die Ungläubigen,(2) Orang-orang yang tidak beriman,(۲) کافران,(2) நம்பமறுப்பவர்கள்,(2) De icke-troende,(2) Неверующие,(২) অবিশ্বাসীরা,(2) Los infieles,(2) کافر
1742,13:26,God Controls All Provisions,13,26,Tüm Rızıkları Tanrı Kontrol Eder,Dieu contrôle toutes les dispositions,Gott steuert alle Bestimmungen,Tuhan mengawal segala rezeki.,خداوند همهٔ روزی‌ها را کنترل می‌کند,வாழ்வாதாரங்கள் அனைத்தையும் கடவுள் கட்டுப்படுத்துகின்றார்,Gud kontrollerar alla bestämmelser,Бог контролирует все положения,ঈশ্বর সমস্ত প্রবিধান নিয়ন্ত্রণ করেন,Dios controla todas las provisiones,خدا تمام روزیوں کا کنٹرول رکھتا ہے۔
1746,13:30,God's Messenger of the Covenant*,13,30,Tanrı'nın Antlaşma Elçisi,Le messager de l'alliance de Dieu*,Gottes Gesandter des Bundes*,Pembawa Perjanjian Tuhan*,پیام‌آور عهد خدا*,கடவுளின் உடன்படிக்கைத் தூதர்*,Guds budbärare av förbundet*,Посланник Божьего Завета*.,আহদ-এর ঈশ্বরের দূত*,Mensajero de Dios de la Alianza*.,عہد کا خدا کا رسول*
1747,13:31,Mathematical Miracle of the Quran,13,31,Kuran'ın Matematiksel Mucizesi,Le miracle mathématique du Coran,Das mathematische Wunder des Korans,Mukjizat Matematik Al-Quran,معجزه ریاضی قرآن,குர்ஆனின் கணித அற்புதம்,Koranens matematiska mirakel,Математическое чудо Корана,কুরআনের গাণিতিক অলৌকিকতা,El milagro matemático del Corán,قرآن کا ریاضیاتی معجزہ
1748,13:32,All Messengers Must Be Ridiculed,13,32,Mutlaka Tüm Elçilerle Alay Edilmiştir,Tous les messagers doivent être ridiculisés,Alle Boten müssen lächerlich gemacht werden,Semua utusan mesti diejek,تمام پیام‌آوران باید مسخره شوند,தூதர்கள் அனைவரும் கேலி செய்யப்படுவார்கள்,Alla budbärare måste förlöjligas,Все посланники должны быть осмеяны,সব বার্তাবাহকদের উপহাস করতে হবে,Todos los mensajeros deben ser ridiculizados,تمام پیغام رساں کا مذاق اڑایا جانا چاہیے
1751,13:35,Heaven Allegorically Described,13,35,Cennet Alegorik Olarak Tanımlanmıştır,Le paradis décrit de manière allégorique,Allegorische Beschreibung des Himmels,Syurga Digambarkan Secara Alegori,بهشت به صورت تمثیلی توصیف شده,சுவனம் உருவகமாக வர்ணிக்கப்படுகிறது,Himlen allegoriskt beskriven,Аллегорическое описание рая,রূপকভাবে স্বর্গের বর্ণনা,Descripción alegórica del Cielo,جنت کی تمثیلی وضاحت
1753,13:37,Divine Authorization of the Quran's Mathematical Code*,13,37,Kuran'ın Matematiksel Kodunun İlahi Yetkilendirmesi,Autorisation divine du code mathématique du Coran* (en anglais),Die göttliche Autorisierung des mathematischen Codes des Korans*,Autorisasi Ilahi bagi Kod Matematik Al-Quran*,مجوز الهی کد ریاضی قرآن*,குர்ஆனின் கணிதக் குறியீட்டுக்கு தெய்வீக அங்கீகாரம்*,Gudomlig auktorisering av Koranens matematiska kod*,Божественное разрешение математического кода Корана*,কুরআনের গাণিতিক কোডের ঐশ্বরিক অনুমোদন*,Autorización divina del código matemático del Corán*.,قرآن کے ریاضیاتی کوڈ کی الٰہی اجازت*
1721,13:5,Belief in the Hereafter Required For Salvation,13,5,Kurtuluş için Ahiret İnancı Gereklidir,La croyance en l'au-delà est nécessaire au salut,Der Glaube an das Jenseits ist Voraussetzung für die Erlösung,Kepercayaan kepada Hari Akhirat Diperlukan untuk Keselamatan,ایمان به آخرت برای نجات ضروری است,மறுவுலகின் மீது நம்பிக்கை கொள்வது மீட்சிக்கு அவசியமாகின்றது,Tron på det härefter krävs för frälsning,Вера в будущее необходима для спасения,মোক্ষের জন্য পরকালের বিশ্বাস অপরিহার্য,La creencia en el más allá es necesaria para la salvación,نجات کے لیے آخرت پر ایمان ضروری ہے
1770,14:10,Following Our Parents Blindly: A Great Human Tragedy,14,10,Atalarımızı Körü Körüne Takip Etmek Büyük Bir İnsan Trajedisi,Suivre aveuglément nos parents : Une grande tragédie humaine,Unseren Eltern blind folgen: Eine große menschliche Tragödie,Mengikuti Orang Tua Kita Secara Buta: Tragedi Manusiawi yang Hebat,پیروی کورکورانه‌ی والدین‌مان: یک تراژدی بزرگ انسانی,நமது பெற்றோர்களைக் கண்மூடிப் பின்பற்றுதல்: ஒரு மாபெரும் மானிட சோகம்,Att följa våra föräldrar blint: En stor mänsklig tragedi,Слепое следование за родителями: Великая человеческая трагедия,আমাদের পিতামাতাকে অন্ধভাবে অনুসরণ: একটি মহান মানবিক ট্র্যাজেডি,Seguir ciegamente a nuestros padres: Una gran tragedia humana,اپنے والدین کی اندھا اندھا تقلید: ایک عظیم انسانی المیہ
1779,14:19,Worship Only the Omnipotent One,14,19,Sadece Her Şeye Gücü Yetene Tap,N'adorez que l'Omnipotent,Verehre nur den Allmächtigen,Sembahlah hanya Yang Maha Kuasa,تنها قادر متعال را پرستش کنید,சர்வ சக்தியும் உள்ள ஒருவரை மட்டுமே வழிபடுங்கள்,Dyrka endast den allsmäktige,Поклоняйтесь только Всемогущему,শুধুমাত্র সর্বশক্তিমানকে উপাসনা করো,Adora sólo al Omnipotente,صرف قادرِ مطلق کی عبادت کرو
